method,path,ignore
GET,/domoweb/public/javascripts/admin/apps/people/templates/content-pane.handlebars,
GET,/domoweb/public/javascripts/admin/apps/people/templates/delete-user.handlebars,
GET,/domoweb/public/javascripts/admin/apps/people/templates/group-membership-item.handlebars,
GET,/domoweb/public/javascripts/admin/apps/people/templates/group-membership.handlebars,
GET,/domoweb/public/javascripts/admin/apps/people/templates/navigation.handlebars,
GET,/domoweb/public/javascripts/admin/apps/people/templates/remove-group-dialog.handlebars,
GET,/domoweb/public/javascripts/admin/apps/people/templates/user-details.handlebars,
GET,/domoweb/public/javascripts/admin/apps/people/views/{id},
GET,/domoweb/public/javascripts/admin/apps/security/{id},
GET,/domoweb/public/javascripts/admin/apps/security/models/{id},
GET,/domoweb/public/javascripts/admin/apps/security/templates/checkbox-setting.handlebars,
GET,/domoweb/public/javascripts/admin/apps/security/templates/password-settings.handlebars,
GET,/domoweb/public/javascripts/admin/apps/security/templates/textbox-setting.handlebars,
GET,/domoweb/public/javascripts/admin/apps/security/views/{id},
GET,/domoweb/public/javascripts/admin/apps/securityProfiles/{id},
GET,/domoweb/public/javascripts/admin/apps/securityProfiles/controllers/{id},
GET,/domoweb/public/javascripts/admin/apps/securityProfiles/templates/content.handlebars,
GET,/domoweb/public/javascripts/admin/apps/securityProfiles/templates/security-item.handlebars,
GET,/domoweb/public/javascripts/admin/collections/{id},
GET,/domoweb/public/javascripts/admin/controllers/{id},
GET,/domoweb/public/javascripts/admin/templates/add-to-list-bar.handlebars,
GET,/domoweb/public/javascripts/admin/templates/content-access-list-item.handlebars,
GET,/domoweb/public/javascripts/admin/templates/content-access-panel.handlebars,
GET,/domoweb/public/javascripts/admin/templates/kpi-selector-panel.handlebars,
GET,/domoweb/public/javascripts/admin/templates/remove-content-access.handlebars,
GET,/domoweb/public/javascripts/admin/views/{id},
GET,/domoweb/public/javascripts/analytics/{id},
GET,/domoweb/public/javascripts/application/{id},
GET,/domoweb/public/javascripts/application/page/{id},
GET,/domoweb/public/javascripts/application/templates/{id},
GET,/domoweb/public/javascripts/bits/ui/{id},
GET,/domoweb/public/javascripts/bits/ui/templates/{id},
GET,/domoweb/public/javascripts/bits/vendor/{id},
GET,/domoweb/public/javascripts/collections/{id},
GET,/domoweb/public/javascripts/dataconnection/{id},
GET,/domoweb/public/javascripts/dataconnection/connector/collections/{id},
GET,/domoweb/public/javascripts/dataconnection/download/{id},
GET,/domoweb/public/javascripts/dataconnection/templates/{id},
GET,/domoweb/public/javascripts/dataconnection/upload/{id},
GET,/domoweb/public/javascripts/domo/{id},
GET,/domoweb/public/javascripts/domo/ui/{id},
GET,/domoweb/public/javascripts/help/{id},
GET,/domoweb/public/javascripts/livefeed/templates/{id},
GET,/domoweb/public/javascripts/livefeed2/ui/{id},
GET,/domoweb/public/javascripts/livefeed2/ui/views/{id},
GET,/domoweb/public/javascripts/livefeed2/ui/views/templates/base-origin-events.template,
GET,/domoweb/public/javascripts/livefeed2/views/{id},
GET,/domoweb/public/javascripts/models/{id},
GET,/domoweb/public/javascripts/notifications/{id},
GET,/domoweb/public/javascripts/userprofile/{id},
GET,/domoweb/public/javascripts/userprofile/templates/{id},
GET,/domoweb/public/javascripts/vendor/{id},
GET,/domoweb/public/stylesheets/{id},
GET,/domoweb/public/stylesheets/ui/{id},
GET,/domoweb/search,
GET,/domoweb/search/groups,
GET,/domoweb/search/users,
GET,/domoweb/search/usersandgroups,
GET,/domoweb/share/getkpisharedtargets,
GET,/domoweb/share/getpagesharedtargets,
GET,/domoweb/share/sharepagesandkpis,
GET,/domoweb/userprofile/{id}/getKPIData/{id},
GET,/domoweb/userprofile/{id}/getKPIStats,
GET,/domoweb/userprofile/{id}/index,
GET,/domoweb/userprofile/{id}/loadActivity,
GET,/domoweb/userprofile/{id}/loadAlerts,
GET,/domoweb/userprofile/{id}/loadgroups,
GET,/domoweb/userprofile/{id}/loadGroups,
GET,/domoweb/UserProfile/getKPIStats,
GET,/domoweb/userprofile/getUserProfileAndPreferences,
GET,/domoweb/userprofile/index,
GET,/domoweb/UserProfile/loadActivity,
GET,/domoweb/userprofile/togglelivefeed,
GET,/domoweb/Users/at,
GET,/domoweb/Users/following,
GET,/domoweb/users/following/{id},
GET,/domoweb/users/getaccesslist,
GET,/domoweb/users/index,
GET,/domoweb/users/loadall,
GET,/domoweb/users/preferences/{id},
GET,/domoweb/users/roles,
GET,/domoweb/users/updaterole,
GET,/domoweb/UserSearch,
GET,/domoweb/usersearch,
GET,/domoweb/v2/groups/{id}/defaultkpis,
POST,/domoweb/api/v1/datasources/{id}/swapData,
POST,/domoweb/api/v1/tempdatasource,
POST,/domoweb/auth/signin,Y
POST,/domoweb/cache/expire,
POST,/domoweb/comments/create,
POST,/domoweb/dashboard/setPageVisibility/{id}/false,
POST,/domoweb/dataaccess/createkpiusingexistingcontentdatasource,
POST,/domoweb/dataaccess/updatevisualization,
POST,/domoweb/dataconnection/excel,
POST,/domoweb/dataconnection/googledocs,
POST,/domoweb/dataconnection/googledocs/token,
POST,/domoweb/dataconnection/webform,
POST,/domoweb/datasource,
POST,/domoweb/drill/getDrillKpiHtml,
POST,/domoweb/drill/getkpihtmlforanalyzer,
POST,/domoweb/drill/getlastdrilltable,
POST,/domoweb/excel/update,
POST,/domoweb/excelPlugin/datasources/{id}/data/createContentDatasource,
POST,/domoweb/groups/create,
POST,/domoweb/ice/drillData,
POST,/domoweb/kpis/{id}/addtofavorites,
POST,/domoweb/kpis/{id}/alerts/save,
POST,/domoweb/kpis/{id}/drillPath,
POST,/domoweb/kpis/{id}/drillPath/{id}/drillView,
POST,/domoweb/kpis/{id}/drillPath/{id}/drillView/{id}/drillKpi,
POST,/domoweb/kpis/{id}/history,
POST,/domoweb/kpis/{id}/link,
POST,/domoweb/kpis/{id}/remove,
POST,/domoweb/kpis/{id}/updatePagePlacement,
POST,/domoweb/kpis/alerts/followers,
POST,/domoweb/kpis/changekpisizes,
POST,/domoweb/kpis/getcustomkpihtml/domo/client_services_success_barriers,
POST,/domoweb/kpis/getcustomkpihtml/domo/marketing_calendar,
POST,/domoweb/kpis/getcustomkpihtml/domo/product_roadmap,
POST,/domoweb/kpis/getcustomkpihtml/domo/Sales_Funnel_Infographic,
POST,/domoweb/kpis/getcustomkpihtml/domo/salesforce_overview_infographic,
POST,/domoweb/kpis/getcustomkpihtml/domo/salesforce_pipeline_infographic,
POST,/domoweb/kpis/getcustomkpihtml/domo/salesforce_salesbystate_infographic,
